drivername,championshipposition,yearofseason,racingseries,points,sprintwins,featurewins,podiums,pointsfinishes,totalwins,promoted,team,constructorschampionshipstanding,numberofraces,polepositions,dnsdnfdsq,nationality,dnf_rate,win_rate,nat_id,pole_rate,podium_rate,points_per_race,rev_championship_pos,rev_const_champ,constructorsstandings,points_finish_rate,post_formalization,z_rev,z_points,z_pole,z_dnf,perf_index,driver_id,team_id,const_champ
Fabio Leimer,1,2013,GP2 Series,201,,,7,17,3,0,Racing Engineering,,22,1,1,Switzerland,.045454547,.13636364,35,.045454547,.31818181,9.136364,-1,-3,3,.77272725,0,1.6320499,1.5604237,.61274511,-1.0365406,4.8417592,157,22,3
Sam Bird,2,2013,GP2 Series,181,,,6,16,5,0,Russian Time,,22,2,2,United Kingdom,.090909094,.22727273,37,.090909094,.27272728,8.227273,-2,-1,1,.72727275,0,1.521082,1.3908288,1.613501,-.73350978,5.2589216,238,26,1
James Calado,3,2013,GP2 Series,157,,,7,16,2,0,ART Grand Prix,,22,0,2,United Kingdom,.090909094,.090909094,37,0,.31818181,7.1363635,-3,-5,5,.72727275,0,1.4101142,1.3908288,-.38801068,-.73350978,3.1464422,173,2,5
Felipe Nasr,4,2013,GP2 Series,154,,,6,16,0,0,Carlin,,22,0,3,Brazil,.13636364,0,4,0,.27272728,7,-4,-2,2,.72727275,0,1.2991463,1.3908288,-.38801068,-.43047893,2.7324433,163,7,2
Stefano Coletti,5,2013,GP2 Series,135,,,7,11,3,0,Rapax,,22,1,4,Monaco,.18181819,.13636364,23,.045454547,.31818181,6.1363635,-5,-7,7,.5,0,1.1881784,.54285359,.61274511,-.1274481,2.4712253,245,23,7
Marcus Ericsson,6,2013,GP2 Series,121,,,5,9,1,1,DAMS,,22,2,5,Sweden,.22727273,.045454547,34,.090909094,.22727273,5.5,-6,-4,4,.40909091,0,1.0772105,.2036635,1.613501,.17558277,2.7187922,200,9,4
Jolyon Palmer,7,2013,GP2 Series,119,,,3,12,2,0,Carlin,,22,1,4,United Kingdom,.18181819,.090909094,37,.045454547,.13636364,5.409091,-7,-2,2,.54545456,0,.96624261,.71244866,.61274511,-.1274481,2.4188845,179,7,2
Stéphane Richelm,8,2013,GP2 Series,103,,,1,13,0,0,DAMS,,22,1,3,Monaco,.13636364,0,23,.045454547,.045454547,4.681818,-8,-4,4,.59090906,0,.85527474,.88204354,.61274511,-.43047893,2.7805424,247,9,4
Alexander Rossi,9,2013,GP2 Series,92,,,4,10,1,0,Caterham Racing,,20,1,3,United States,.15000001,.050000001,38,.050000001,.2,4.5999999,-9,-9,9,.5,0,.74430686,.54285359,.71282065,-.33956969,2.3395507,130,37,9
Tom Dillmann,10,2013,GP2 Series,92,,,2,11,0,0,Russian Time,,21,1,2,France,.095238097,0,14,.047619049,.095238097,4.3809524,-10,-1,1,.52380955,0,.63333893,.63168919,.66040015,-.70464975,2.6300781,252,26,1
Jon Lancaster,11,2013,GP2 Series,73,,,3,8,2,0,Hilmer Motorsport,,16,0,2,United Kingdom,.125,.125,37,0,.1875,4.5625,-11,-6,6,.5,0,.52237105,.54285359,-.38801068,-.50623667,1.1834507,180,43,6
Julián Leal,12,2013,GP2 Series,62,,,2,8,0,0,Racing Engineering,,22,0,4,Colombia,.18181819,0,8,0,.090909094,2.8181818,-12,-3,3,.36363637,0,.41140318,.034068521,-.38801068,-.1274481,.18490912,184,22,3
Adrian Quaife-Hobbs,13,2013,GP2 Series,56,,,3,9,1,0,Hilmer Motorsport,,22,0,4,United Kingdom,.18181819,.045454547,37,0,.13636364,2.5454545,-13,-6,6,.40909091,0,.30043527,.2036635,-.38801068,-.1274481,.24353619,124,43,6
Mitch Evans,14,2013,GP2 Series,56,,,4,8,0,0,Arden International,,22,0,3,New Zealand,.13636364,0,25,0,.18181819,2.5454545,-14,-8,8,.36363637,0,.1894674,.034068521,-.38801068,-.43047893,.26600417,209,33,8
Robin Frijns,15,2013,GP2 Series,47,,,2,4,1,0,Hilmer Motorsport,,12,0,4,Netherlands,.33333334,.083333336,24,0,.16666667,3.9166667,-15,-6,6,.33333334,0,.078499503,-.078994833,-.38801068,.88265473,-1.2711607,233,43,6
Johnny Cecotto Jr.,16,2013,GP2 Series,41,,,0,10,0,0,Arden International,,21,1,4,Venezuela,.19047619,0,39,.047619049,0,1.9523809,-16,-8,8,.47619048,0,-.032468382,.45401809,.66040015,-.069727942,1.1516778,178,33,8
Kevin Ceccon,17,2013,GP2 Series,28,,,1,5,0,0,Trident,,11,0,2,Italy,.18181819,0,19,0,.090909094,2.5454545,-17,-11,11,.45454547,0,-.14343627,.37325859,-.38801068,-.1274481,-.030740261,188,28,11
Dani Clos,18,2013,GP2 Series,25,,,1,4,0,0,MP Motorsport,,10,0,1,Spain,.1,0,33,0,.1,2.5,-18,-10,10,.40000001,0,-.25440416,.16974452,-.38801068,-.67290366,.20023334,146,18,10
Rio Haryanto,19,2013,GP2 Series,22,,,1,5,0,0,Barwa Addax Team,,22,0,1,Indonesia,.045454547,0,18,0,.045454547,1,-19,-12,12,.22727273,0,-.36537206,-.47471657,-.38801068,-1.0365406,-.19155869,231,35,12
Nathanaël Berthon,20,2013,GP2 Series,21,,,1,3,1,0,Trident,,22,0,7,France,.31818181,.045454547,14,0,.045454547,.95454544,-20,-11,11,.13636364,0,-.47633994,-.81390667,-.38801068,.78164434,-2.4599016,211,28,11
Simon Trummer,21,2013,GP2 Series,20,,,0,7,0,0,Rapax,,22,0,1,Switzerland,.045454547,0,35,0,0,.90909094,-21,-7,7,.31818181,0,-.58730781,-.13552657,-.38801068,-1.0365406,-.074304432,244,23,7
Daniel Abt,22,2013,GP2 Series,11,,,0,4,0,0,ART Grand Prix,,21,0,4,Germany,.19047619,0,16,0,0,.52380955,-22,-5,5,.19047619,0,-.69827574,-.6120078,-.38801068,-.069727942,-1.6285663,147,2,5
René Binder,23,2013,GP2 Series,11,,,0,5,0,0,Venezeula GP Lazarus,,22,0,1,Austria,.045454547,0,2,0,0,.5,-23,-13,13,.22727273,0,-.80924362,-.47471657,-.38801068,-1.0365406,-.63543022,228,54,13
Daniël de Jong,24,2013,GP2 Series,3,,,0,3,0,0,MP Motorsport,,22,0,6,Netherlands,.27272728,0,24,0,0,.13636364,-24,-10,10,.13636364,0,-.92021149,-.81390667,-.38801068,.47861362,-2.6007423,148,18,10
Sergio Canamasas,25,2013,GP2 Series,3,,,0,2,0,0,Caterham Racing,,22,0,5,Spain,.22727273,0,33,0,0,.13636364,-25,-9,9,.090909094,0,-1.0311794,-.98350167,-.38801068,.17558277,-2.5782745,242,37,9
Conor Daly,26,2013,GP2 Series,2,,,0,1,0,0,Hilmer Motorsport,,2,0,0,United States,0,0,38,0,0,1,-26,-6,6,.5,0,-1.1421473,.54285359,-.38801068,-1.3395715,.35226709,145,43,6
Vittorio Ghirelli,27,2013,GP2 Series,1,,,0,1,0,0,Venezeula GP Lazarus,,10,0,2,Italy,.2,0,19,0,0,.1,-27,-13,13,.1,0,-1.2531152,-.9495827,-.38801068,-.0062357713,-2.5844729,255,54,13
Jake Rosenzweig,28,2013,GP2 Series,0,,,0,1,0,0,Barwa Addax Team,,22,0,3,United States,.13636364,0,38,0,0,0,-28,-12,12,.045454547,0,-1.3640831,-1.1530967,-.38801068,-.43047893,-2.4747114,172,35,12
Kevin Giovesi,29,2013,GP2 Series,0,,,0,1,0,0,Venezeula GP Lazarus,,8,0,3,Italy,.375,0,19,0,0,0,-29,-13,13,.125,0,-1.4750509,-.85630542,-.38801068,1.1604329,-3.8797998,189,54,13
Gianmarco Raimondo,30,2013,GP2 Series,0,,,0,0,0,0,Trident,,4,0,0,Canada,0,0,6,0,0,0,-30,-11,11,0,0,-1.5860188,-1.3226918,-.38801068,-1.3395715,-1.9571497,167,28,11
Pål Varhaug,31,2013,GP2 Series,0,,,0,0,0,0,Hilmer Motorsport,,4,0,1,Norway,.25,0,26,0,0,0,-31,-6,6,0,0,-1.6969867,-1.3226918,-.38801068,.32709813,-3.7347872,226,43,6
Sergio Campana,32,2013,GP2 Series,0,,,0,0,0,0,Trident,,2,0,0,Italy,0,0,19,0,0,0,-32,-11,11,0,0,-1.8079547,-1.3226918,-.38801068,-1.3395715,-2.1790857,241,28,11
Fabrizio Crestani,33,2013,GP2 Series,0,,,0,0,0,0,Venezeula GP Lazarus,,4,0,0,Italy,0,0,19,0,0,0,-33,-13,13,0,0,-1.9189225,-1.3226918,-.38801068,-1.3395715,-2.2900536,159,54,13
Ricardo Teixeira,34,2013,GP2 Series,0,,,0,0,0,0,Trident,,4,0,0,Portugal,0,0,28,0,0,0,-34,-11,11,0,0,-2.0298903,-1.3226918,-.38801068,-1.3395715,-2.4010212,229,28,11
Ma Qinghua,35,2013,GP2 Series,0,,,0,0,0,0,Caterham Racing,,1,0,0,China,0,0,7,0,0,0,-35,-9,9,0,0,-2.1408582,-1.3226918,-.38801068,-1.3395715,-2.5119891,197,37,9
Davide Valsecchi,1,2012,GP2 Series,247,,,10,19,4,0,DAMS,,24,2,3,Italy,.125,.16666667,19,.083333336,.41666666,10.291667,-1,-1,1,.79166669,0,1.6320499,1.6310884,1.4467083,-.50623667,5.2160835,150,9,1
Luiz Razia,2,2012,GP2 Series,222,,,9,20,4,0,Arden International,,24,0,1,Brazil,.041666668,.16666667,4,0,.375,9.25,-2,-3,3,.83333331,0,1.521082,1.7865504,-.38801068,-1.0617932,3.981415,196,33,3
Esteban Gutiérrez,3,2012,GP2 Series,176,,,7,19,3,1,Lotus GP,,24,0,3,Mexico,.125,.125,22,0,.29166666,7.3333335,-3,-2,2,.79166669,0,1.4101142,1.6310884,-.38801068,-.50623667,3.1594286,156,45,2
Max Chilton,4,2012,GP2 Series,169,,,4,16,2,1,Carlin,,24,2,2,United Kingdom,.083333336,.083333336,37,.083333336,.16666667,7.0416665,-4,-5,5,.66666669,0,1.2991463,1.1647021,1.4467083,-.78401494,4.6945715,204,7,5
James Calado,5,2012,GP2 Series,160,,,7,16,2,0,Lotus GP,,24,2,4,United Kingdom,.16666667,.083333336,37,.083333336,.29166666,6.6666665,-5,-2,2,.66666669,0,1.1881784,1.1647021,1.4467083,-.22845837,4.0280471,173,45,2
Giedo van der Garde,6,2012,GP2 Series,160,,,6,18,2,1,Caterham Racing,,24,2,3,Netherlands,.125,.083333336,24,.083333336,.25,6.6666665,-6,-7,7,.75,0,1.0772105,1.4756262,1.4467083,-.50623667,4.5057817,168,37,7
Fabio Leimer,7,2012,GP2 Series,152,,,6,16,0,0,Racing Engineering,,24,1,2,Switzerland,.083333336,0,35,.041666668,.25,6.3333335,-7,-4,4,.66666669,0,.96624261,1.1647021,.52934879,-.78401494,3.4443083,157,22,4
Marcus Ericsson,8,2012,GP2 Series,124,,,5,12,1,0,iSport International,,24,0,3,Sweden,.125,.041666668,34,0,.20833333,5.1666665,-8,-6,6,.5,0,.85527474,.54285359,-.38801068,-.50623667,1.5163543,200,56,6
Johnny Cecotto Jr.,9,2012,GP2 Series,104,,,4,8,2,0,Barwa Addax Team,,23,1,12,Venezuela,.52173913,.086956523,39,.043478262,.17391305,4.521739,-9,-8,8,.34782609,0,.74430686,-.024921069,.56923395,2.1386955,-.85007572,178,35,8
Felipe Nasr,10,2012,GP2 Series,95,,,4,14,0,0,DAMS,,24,0,5,Brazil,.20833333,0,4,0,.16666667,3.9583333,-10,-1,1,.58333331,0,.63333893,.85377771,-.38801068,.04931983,1.0497861,163,9,1
Jolyon Palmer,11,2012,GP2 Series,78,,,3,11,1,0,iSport International,,22,0,6,United Kingdom,.27272728,.045454547,37,0,.13636364,3.5454545,-11,-6,6,.5,0,.52237105,.54285359,-.38801068,.47861362,.19860035,179,56,6
Nathanaël Berthon,12,2012,GP2 Series,60,,,2,12,0,0,Racing Engineering,,24,0,2,France,.083333336,0,14,0,.083333336,2.5,-12,-4,4,.5,0,.41140318,.54285359,-.38801068,-.78401494,1.350261,211,22,4
Stefano Coletti,13,2012,GP2 Series,50,,,1,11,0,0,Scuderia Coloni,,24,0,8,Monaco,.33333334,0,23,0,.041666668,2.0833333,-13,-13,13,.45833334,0,.30043527,.38739151,-.38801068,.88265473,-.58283865,245,49,13
Rio Haryanto,14,2012,GP2 Series,38,,,0,10,0,0,Carlin,,24,1,1,Indonesia,.041666668,0,18,.041666668,0,1.5833334,-14,-5,5,.41666666,0,.1894674,.23192932,.52934879,-1.0617932,2.0125387,231,7,5
Tom Dillmann,15,2012,GP2 Series,29,,,1,5,1,0,Rapax,,14,0,3,France,.21428572,.071428575,14,0,.071428575,2.0714285,-15,-9,9,.35714287,0,.078499503,.0098406523,-.38801068,.08900249,-.38867301,252,23,9
Luca Filippi,16,2012,GP2 Series,29,,,1,1,1,0,Scuderia Coloni,,3,1,1,Italy,.33333334,.33333334,19,.33333334,.33333334,9.666667,-16,-13,13,.33333334,0,-.032468382,-.078994833,6.9508653,.88265473,5.9567475,193,49,13
Josef Král,17,2012,GP2 Series,27,,,1,5,1,0,Barwa Addax Team,,15,0,3,Czech Republic,.2,.06666667,11,0,.06666667,1.8,-17,-8,8,.33333334,0,-.14343627,-.078994833,-.38801068,-.0062357713,-.60420603,182,35,8
Stéphane Richelmi,18,2012,GP2 Series,25,,,1,5,0,0,Trident,,24,0,5,Monaco,.20833333,0,23,0,.041666668,1.0416666,-18,-10,10,.20833333,0,-.25440416,-.54538125,-.38801068,.04931983,-1.2371159,248,28,10
Nigel Melker,19,2012,GP2 Series,25,,,0,4,0,0,Ocean Racing Technology,,23,0,5,Netherlands,.2173913,0,24,0,0,1.0869565,-19,-11,11,.17391305,0,-.36537206,-.67380643,-.38801068,.10970639,-1.5368955,216,46,11
Fabio Onidi,20,2012,GP2 Series,13,,,0,4,0,0,Scuderia Coloni,,24,0,4,Italy,.16666667,0,19,0,0,.54166669,-20,-13,13,.16666667,0,-.47633994,-.70084327,-.38801068,-.22845837,-1.3367355,158,49,13
Julián Leal,21,2012,GP2 Series,9,,,0,5,0,0,Trident,,24,0,1,Colombia,.041666668,0,8,0,0,.375,-21,-10,10,.20833333,0,-.58730781,-.54538125,-.38801068,-1.0617932,-.45890653,184,28,10
Rodolfo González,22,2012,GP2 Series,6,,,0,1,0,0,Caterham Racing,,24,0,4,Venezuela,.16666667,0,39,0,0,.25,-22,-7,7,.041666668,0,-.69827574,-1.1672297,-.38801068,-.22845837,-2.0250578,234,37,7
Simon Trummer,23,2012,GP2 Series,4,,,0,4,0,0,Arden International,,24,0,2,Switzerland,.083333336,0,35,0,0,.16666667,-23,-3,3,.16666667,0,-.80924362,-.70084327,-.38801068,-.78401494,-1.1140826,244,33,3
Fabrizio Crestani,24,2012,GP2 Series,1,,,0,2,0,0,Venezuela GP Lazarus,,13,0,4,Italy,.30769232,0,19,0,0,.07692308,-24,-12,12,.15384616,0,-.92021149,-.74867779,-.38801068,.71171427,-2.7686143,159,55,12
Brendon Hartley,25,2012,GP2 Series,1,,,0,1,0,0,Ocean Racing Technology,,4,0,1,New Zealand,.25,0,25,0,0,.25,-25,-11,11,.25,0,-1.0311794,-.3899191,-.38801068,.32709813,-2.1362073,139,46,11
Daniël de Jong,26,2012,GP2 Series,0,,,0,1,0,0,Rapax,,8,0,1,Netherlands,.125,0,24,0,0,0,-26,-9,9,.125,0,-1.1421473,-.85630542,-.38801068,-.50623667,-1.8802267,148,23,9
Sergio Canamasas,27,2012,GP2 Series,0,,,0,0,0,0,Venezuela GP Lazarus,,9,0,3,Spain,.33333334,0,33,0,0,0,-27,-12,12,0,0,-1.2531152,-1.3226918,-.38801068,.88265473,-3.8464723,242,55,12
Dani Clos,28,2012,GP2 Series,0,,,0,0,0,0,Barwa Addax Team,,4,0,3,Spain,.75,0,33,0,0,0,-28,-8,8,0,0,-1.3640831,-1.3226918,-.38801068,3.6604373,-6.7352228,146,35,8
Ricardo Teixeira,29,2012,GP2 Series,0,,,0,0,0,0,Rapax,,21,0,4,Portugal,.19047619,0,28,0,0,0,-29,-9,9,0,0,-1.4750509,-1.3226918,-.38801068,-.069727942,-3.1160254,229,23,9
Victor Guerin,30,2012,GP2 Series,0,,,0,0,0,0,Ocean Racing Technology,,17,0,5,Brazil,.29411766,0,4,0,0,0,-30,-11,11,0,0,-1.5860188,-1.3226918,-.38801068,.62121642,-3.9179378,253,46,11
René Binder,31,2012,GP2 Series,0,,,0,0,0,0,Venezuela GP Lazarus,,6,0,2,Austria,.33333334,0,2,0,0,0,-31,-12,12,0,0,-1.6969867,-1.3226918,-.38801068,.88265473,-4.2903438,228,55,12
Jake Rosenzweig,32,2012,GP2 Series,0,,,0,0,0,0,Barwa Addax Team,,4,0,0,United States,0,0,38,0,0,0,-32,-8,8,0,0,-1.8079547,-1.3226918,-.38801068,-1.3395715,-2.1790857,172,35,8
Giancarlo Serenelli,33,2012,GP2 Series,0,,,0,0,0,0,Venezuela GP Lazarus,,18,0,4,Venezuela,.22222222,0,39,0,0,0,-33,-12,12,0,0,-1.9189225,-1.3226918,-.38801068,.14191264,-3.7715378,166,55,12
Jon Lancaster,34,2012,GP2 Series,0,,,0,0,0,0,Ocean Racing Technology,,2,0,1,United Kingdom,.5,0,37,0,0,0,-34,-11,11,0,0,-2.0298903,-1.3226918,-.38801068,1.9937677,-5.7343607,180,46,11
Romain Grosjean,1,2011,GP2 Series,89,,,10,15,5,1,DAMS,,17,1,2,France,.11764706,.29411766,14,.05882353,.58823532,5.2352943,-1,-2,2,.88235295,0,1.6320499,1.9694471,.907085,-.55525637,5.0638385,236,9,2
Luca Filippi,2,2011,GP2 Series,54,,,5,9,3,0,Supernova Racing,,18,0,5,Italy,.27777779,.16666667,19,0,.27777779,3,-2,-9,9,.5,0,1.521082,.54285359,-.38801068,.51228374,1.1636412,193,52,9
Jules Bianchi,3,2011,GP2 Series,53,,,6,14,1,1,Lotus ART,,18,1,3,France,.16666667,.055555556,14,.055555556,.33333334,2.9444444,-3,-5,5,.77777779,0,1.4101142,1.5792677,.83513528,-.22845837,4.0529757,183,44,5
Charles Pic,4,2011,GP2 Series,52,,,5,9,2,1,Barwa Addax Team,,17,3,5,France,.29411766,.11764706,14,.17647059,.29411766,3.0588236,-4,-1,1,.52941179,0,1.2991463,.65259165,3.4972765,.62121642,4.8277979,142,35,1
Giedo van der Garde,5,2011,GP2 Series,49,,,5,11,0,0,Barwa Addax Team,,18,1,4,Netherlands,.22222222,0,24,.055555556,.27777779,2.7222223,-5,-1,1,.6111111,0,1.1881784,.95741916,.83513528,.14191264,2.8388202,168,35,1
Sam Bird,6,2011,GP2 Series,45,,,3,13,0,0,iSport International,,18,1,1,United Kingdom,.055555556,0,37,.055555556,.16666667,2.5,-6,-4,4,.72222221,0,1.0772105,1.3719848,.83513528,-.96920049,4.253531,238,56,4
Christian Vietoris,7,2011,GP2 Series,35,,,3,8,2,0,Racing Engineering,,14,1,3,Germany,.21428572,.14285715,16,.071428575,.21428572,2.5,-7,-3,3,.5714286,0,.96624261,.80936015,1.1846056,.08900249,2.8712058,144,22,3
Davide Valsecchi,8,2011,GP2 Series,30,,,2,8,1,0,Caterham Team AirAsia,,18,0,2,Italy,.11111111,.055555556,19,0,.11111111,1.6666666,-8,-6,6,.44444445,0,.85527474,.33557078,-.38801068,-.59882945,1.4016643,150,38,6
Dani Clos,9,2011,GP2 Series,30,,,2,12,0,0,Racing Engineering,,18,0,3,Spain,.16666667,0,33,0,.11111111,1.6666666,-9,-3,3,.66666669,0,.74430686,1.1647021,-.38801068,-.22845837,1.7494566,146,22,3
Marcus Ericsson,10,2011,GP2 Series,25,,,2,9,0,0,iSport International,,18,0,5,Sweden,.27777779,0,34,0,.11111111,1.3888888,-10,-4,4,.5,0,.63333893,.54285359,-.38801068,.51228374,.2758981,200,56,4
Stefano Coletti,11,2011,GP2 Series,22,,,2,6,2,0,Trident,,15,0,6,Monaco,.40000001,.13333334,23,0,.13333334,1.4666667,-11,-8,8,.40000001,0,.52237105,.16974452,-.38801068,1.3270999,-1.022995,245,28,8
Luiz Razia,12,2011,GP2 Series,19,,,2,7,0,0,Caterham Team AirAsia,,18,1,6,Brazil,.33333334,0,4,.055555556,.11111111,1.0555556,-12,-6,6,.3888889,0,.41140318,.12828797,.83513528,.88265473,.4921717,196,38,6
Esteban Gutiérrez,13,2011,GP2 Series,15,,,2,8,1,0,Lotus ART,,17,0,4,Mexico,.23529412,.05882353,22,0,.11764706,.88235295,-13,-5,5,.47058824,0,.30043527,.43311563,-.38801068,.22905876,.11648147,156,44,5
Fabio Leimer,14,2011,GP2 Series,15,,,2,7,1,0,Rapax,,17,0,5,Switzerland,.29411766,.05882353,35,0,.11764706,.88235295,-14,-10,10,.41176471,0,.1894674,.21363971,-.38801068,.62121642,-.60611999,157,23,10
Josef Král,15,2011,GP2 Series,15,,,2,8,0,0,Arden International,,18,0,3,Czech Republic,.16666667,0,11,0,.11111111,.83333331,-15,-11,11,.44444445,0,.078499503,.33557078,-.38801068,-.22845837,.25451797,182,33,11
Ãlvaro Parente,16,2011,GP2 Series,8,,,1,4,0,0,Racing Engineering,,12,0,3,Portugal,.25,0,28,0,.083333336,.66666669,-16,-3,3,.33333334,0,-.032468382,-.078994833,-.38801068,.32709813,-.826572,259,22,3
Adam Carroll,17,2011,GP2 Series,6,,,0,3,0,0,Supernova Racing,,8,0,0,United Kingdom,0,0,37,0,0,.75,-17,-9,9,.375,0,-.14343627,.076467238,-.38801068,-1.3395715,.88459176,123,52,9
Fairuz Fauzy,18,2011,GP2 Series,5,,,0,4,0,0,Supernova Racing,,18,0,4,United States,.22222222,0,38,0,0,.27777779,-18,-9,9,.22222222,0,-.25440416,-.49356049,-.38801068,.14191264,-1.2778879,161,52,9
Brendon Hartley,19,2011,GP2 Series,4,,,0,2,0,0,Ocean Racing Technology,,4,0,0,New Zealand,0,0,25,0,0,1,-19,-12,12,.5,0,-.36537206,.54285359,-.38801068,-1.3395715,1.1290424,139,46,12
Max Chilton,20,2011,GP2 Series,4,,,0,3,0,0,Carlin,,18,0,6,United Kingdom,.33333334,0,37,0,0,.22222222,-20,-13,13,.16666667,0,-.47633994,-.70084327,-.38801068,.88265473,-2.4478486,204,7,13
Michael Herck,21,2011,GP2 Series,1,,,0,3,0,0,Scuderia Coloni,,17,0,4,Romania,.23529412,0,29,0,0,.05882353,-21,-7,7,.17647059,0,-.58730781,-.66426396,-.38801068,.22905876,-1.8686413,205,49,7
Kevin Mirocha,22,2011,GP2 Series,0,,,0,3,0,0,Ocean Racing Technology,,12,0,4,Germany,.33333334,0,16,0,0,0,-22,-12,12,.25,0,-.69827574,-.3899191,-.38801068,.88265473,-2.3588603,190,46,12
Pål Varhaug,23,2011,GP2 Series,0,,,0,3,0,0,DAMS,,18,0,3,Norway,.16666667,0,26,0,0,0,-23,-2,2,.16666667,0,-.80924362,-.70084327,-.38801068,-.22845837,-1.6696392,226,9,2
Johnny Cecotto Jr.,24,2011,GP2 Series,0,,,0,2,0,0,Ocean Racing Technology,,18,0,6,Venezuela,.33333334,0,39,0,0,0,-24,-12,12,.11111111,0,-.92021149,-.90812612,-.38801068,.88265473,-3.0990031,178,46,12
Oliver Turvey,25,2011,GP2 Series,0,,,0,1,0,0,Carlin,,2,0,0,United Kingdom,0,0,37,0,0,0,-25,-13,13,.5,0,-1.0311794,.54285359,-.38801068,-1.3395715,.46323496,220,7,13
Rodolfo González,26,2011,GP2 Series,0,,,0,3,0,0,Trident,,18,0,5,Venezuela,.27777779,0,39,0,0,0,-26,-8,8,.16666667,0,-1.1421473,-.70084327,-.38801068,.51228374,-2.7432849,234,28,8
Julián Leal,27,2011,GP2 Series,0,,,0,2,0,0,Rapax,,18,0,7,Colombia,.3888889,0,8,0,0,0,-27,-10,10,.11111111,0,-1.2531152,-.90812612,-.38801068,1.2530258,-3.8022778,184,23,10
Jolyon Palmer,28,2011,GP2 Series,0,,,0,2,0,0,Arden International,,17,0,5,United Kingdom,.29411766,0,37,0,0,0,-28,-11,11,.11764706,0,-1.3640831,-.88373989,-.38801068,.62121642,-3.25705,179,33,11
Davide Rigon,29,2011,GP2 Series,0,,,0,1,0,0,Scuderia Coloni,,2,0,1,Italy,.5,0,19,0,0,0,-29,-7,7,.5,0,-1.4750509,.54285359,-.38801068,1.9937677,-3.3139758,149,49,7
Kevin Ceccon,30,2011,GP2 Series,0,,,0,0,0,0,Scuderia Coloni,,8,0,2,Italy,.25,0,19,0,0,0,-30,-7,7,0,0,-1.5860188,-1.3226918,-.38801068,.32709813,-3.6238194,188,49,7
Stéphane Richelmi,31,2011,GP2 Series,0,,,0,0,0,0,Trident,,2,0,0,Monaco,0,0,23,0,0,0,-31,-8,8,0,0,-1.6969867,-1.3226918,-.38801068,-1.3395715,-2.0681176,248,28,8
Mikhail Aleshin,32,2011,GP2 Series,0,,,0,0,0,0,Carlin,,6,0,2,Russia,.33333334,0,30,0,0,0,-32,-13,13,0,0,-1.8079547,-1.3226918,-.38801068,.88265473,-4.4013119,207,7,13
Pastor Maldonado,1,2010,GP2 Series,87,,,8,13,6,1,Rapax,,19,0,5,Venezuela,.2631579,.31578946,39,0,.42105263,4.5789475,-1,-1,1,.68421054,0,1.6320499,1.2301598,-.38801068,.41481766,2.0593812,222,23,1
Sergio Pérez,2,2010,GP2 Series,71,,,7,12,5,1,Barwa Addax Team,,19,1,5,Mexico,.2631579,.2631579,22,.052631579,.36842105,3.7368422,-2,-2,2,.63157892,0,1.521082,1.0337864,.77075917,.41481766,2.91081,243,35,2
Jules Bianchi,3,2010,GP2 Series,52,,,4,9,0,0,ART Grand Prix,,19,3,5,France,.2631579,0,14,.15789473,.21052632,2.7368422,-3,-3,3,.47368422,0,1.4101142,.44466701,3.0882988,.41481766,4.5282621,183,2,3
Dani Clos,4,2010,GP2 Series,51,,,5,14,1,0,Racing Engineering,,19,1,3,Spain,.15789473,.052631579,33,.052631579,.2631579,2.6842105,-4,-4,4,.7368421,0,1.2991463,1.4265329,.77075917,-.2869381,3.7833765,146,22,4
Sam Bird,5,2010,GP2 Series,48,,,5,12,1,0,ART Grand Prix,,19,1,3,United Kingdom,.15789473,.052631579,37,.052631579,.2631579,2.5263157,-5,-3,3,.63157892,0,1.1881784,1.0337864,.77075917,-.2869381,3.2796621,238,2,3
Oliver Turvey,6,2010,GP2 Series,47,,,4,13,0,0,iSport International,,20,1,1,United Kingdom,.050000001,0,37,.050000001,.2,2.3499999,-6,-5,5,.64999998,0,1.0772105,1.1025171,.71282065,-1.0062375,3.8987858,220,56,5
Giedo van der Garde,7,2010,GP2 Series,39,,,4,14,0,0,Barwa Addax Team,,20,0,3,Netherlands,.15000001,0,24,0,.2,1.95,-7,-2,2,.69999999,0,.96624261,1.2890717,-.38801068,-.33956969,2.2068734,168,35,2
Davide Valsecchi,8,2010,GP2 Series,31,,,3,13,1,0,iSport International,,20,1,1,Italy,.050000001,.050000001,19,.050000001,.15000001,1.55,-8,-5,5,.64999998,0,.85527474,1.1025171,.71282065,-1.0062375,3.6768501,150,56,5
Christian Vietoris,9,2010,GP2 Series,29,,,3,8,1,0,Racing Engineering,,17,0,5,Germany,.29411766,.05882353,16,0,.17647059,1.7058823,-9,-4,4,.47058824,0,.74430686,.43311563,-.38801068,.62121642,.1681954,144,22,4
Charles Pic,10,2010,GP2 Series,28,,,2,12,1,0,Arden International,,19,1,2,France,.10526316,.052631579,14,.052631579,.10526316,1.4736842,-10,-7,7,.63157892,0,.63333893,1.0337864,.77075917,-.63781583,3.0757003,142,33,7
Luiz Razia,11,2010,GP2 Series,28,,,3,11,0,0,Rapax,,20,0,6,Brazil,.30000001,0,4,0,.15000001,1.4,-11,-1,1,.55000001,0,.52237105,.72940814,-.38801068,.66043216,.20333636,196,23,1
