drivername,championshipposition,yearofseason,points,totalwins,podiums,pointsfinishes,numberofraces,polepositions,dnsdnfdsq,promotedf2,promotedf1,team,constructorsstandings,nationality,rev_championship_pos,pole_rate,podium_rate,points_per_race,dnf_rate,win_rate,rev_const_champ,points_finish_rate,driver_id,post_formalization,z_rev,z_points,z_pole,perf_index
Aaro Vainio,9,2013,75,2,3,7,14,1,1,0,0,Koiranen GP,3,Finland,-9,.071428575,.21428572,5.3571429,.071428575,.14285715,-3,.5,154,0,.86616164,.6499185,1.3484831,2.8645632
Carlos Sainz Jr.,10,2013,66,0,2,8,14,1,3,0,1,MW Arden,2,Spain,-10,.071428575,.14285715,4.7142859,.21428572,0,-2,.5714286,179,0,.76766425,.89813679,1.3484831,3.0142841
Robert Vi?oiu,11,2013,44,2,2,9,16,0,2,0,0,MW Arden,2,Romania,-11,0,.125,2.75,.125,.125,-2,.5625,277,0,.6691668,.86710948,-.36976811,1.1665082
Lewis Williamson,12,2013,44,0,1,6,14,0,2,0,0,Bamboo Engineering,6,United Kingdom,-12,0,.071428575,3.1428571,.14285715,0,-6,.42857143,234,0,.57066941,.40170032,-.36976811,.60260165
Patric Niederhauser,13,2013,33,0,2,5,16,0,4,0,0,Jenzer Motorsport,7,Switzerland,-13,0,.125,2.0625,.25,0,-7,.3125,265,0,.47217199,-.0016543026,-.36976811,.10074957
Melville McKee,14,2013,31,1,1,4,14,0,4,0,0,Bamboo Engineering,6,United Kingdom,-14,0,.071428575,2.2142856,.2857143,.071428575,-6,.2857143,248,0,.37367457,-.094736092,-.36976811,-.090829633
Giovanni Venturini,15,2013,26,1,1,6,16,0,1,0,0,Trident,8,Italy,-15,0,.0625,1.625,.0625,.0625,-8,.375,209,0,.27517715,.21553664,-.36976811,.12094568
Dean Stoneman,16,2013,20,0,1,2,2,0,0,0,0,Koiranen GP,3,United Kingdom,-16,0,.5,10,0,0,-3,1,192,0,.17667975,2.3874459,-.36976811,2.1943576
Alex Fontana,17,2013,18,0,1,6,16,0,3,0,0,Jenzer Motorsport,7,Switzerland,-17,0,.0625,1.125,.1875,0,-7,.375,162,0,.078182325,.21553664,-.36976811,-.076049149
Dino Zamparelli,18,2013,13,0,0,9,15,0,3,0,0,Marussia Manor Racing,5,United Kingdom,-18,0,0,.86666667,.2,0,-5,.60000002,194,0,-.020315092,.99742407,-.36976811,.60734087
David Fumanelli,19,2013,6,0,0,1,14,0,3,0,0,Trident,8,Italy,-19,0,0,.42857143,.21428572,0,-8,.071428575,190,0,-.11881251,-.83939075,-.36976811,-1.3279713
Patrick Kujala,20,2013,5,0,0,2,15,0,2,0,0,Koiranen GP,3,Finland,-20,0,0,.33333334,.13333334,0,-3,.13333334,266,0,-.21730992,-.62426829,-.36976811,-1.2113464
Adderly Fong,21,2013,2,0,0,1,14,0,5,0,0,Status Grand Prix,9,Hong Kong,-21,0,0,.14285715,.35714287,0,-9,.071428575,155,0,-.31580734,-.83939075,-.36976811,-1.5249662
Eric Lichtenstein,22,2013,0,0,0,2,10,0,3,0,0,Carlin,4,Argentina,-22,0,0,0,.30000001,0,-4,.2,200,0,-.41430476,-.39259797,-.36976811,-1.1766708
Luís Sá Silva,23,2013,0,0,0,0,16,0,5,0,0,Carlin,4,Macau,-23,0,0,0,.3125,0,-4,0,238,0,-.51280218,-1.0876089,-.36976811,-1.9701792
Jimmy Eriksson,24,2013,0,0,0,0,16,0,4,0,0,Status Grand Prix,9,Sweden,-24,0,0,0,.25,0,-9,0,222,0,-.61129957,-1.0876089,-.36976811,-2.0686767
Emanuele Zonzini,25,2013,0,0,0,0,16,0,5,0,0,Trident,8,San Marino,-25,0,0,0,.3125,0,-8,0,198,0,-.70979702,-1.0876089,-.36976811,-2.1671741
Samin Gómez,26,2013,0,0,0,0,16,0,2,0,0,Jenzer Motorsport,7,Venezuela,-26,0,0,0,.125,0,-7,0,282,0,-.80829442,-1.0876089,-.36976811,-2.2656715
Robert Cregan,27,2013,0,0,0,0,2,0,0,0,0,Trident,8,Republic of Ireland,-27,0,0,0,0,0,-8,0,276,0,-.90679187,-1.0876089,-.36976811,-2.3641689
Josh Webster,28,2013,0,0,0,0,15,0,7,0,0,Status Grand Prix,9,United Kingdom,-28,0,0,0,.46666667,0,-9,0,226,0,-1.0052893,-1.0876089,-.36976811,-2.4626663
Ryan Cullen,29,2013,0,0,0,0,16,0,3,0,0,Marussia Manor Racing,5,United Kingdom,-29,0,0,0,.1875,0,-5,0,281,0,-1.1037867,-1.0876089,-.36976811,-2.5611637
Carmen Jordá,30,2013,0,0,0,0,15,0,3,0,0,Bamboo Engineering,6,Spain,-30,0,0,0,.2,0,-6,0,180,0,-1.2022841,-1.0876089,-.36976811,-2.6596611
Alice Powell,31,2013,0,0,0,0,2,0,0,0,0,Bamboo Engineering,6,United Kingdom,-31,0,0,0,0,0,-6,0,168,0,-1.3007815,-1.0876089,-.36976811,-2.7581584
Mitch Evans,1,2012,152,3,6,10,16,4,1,1,0,MW Arden,2,New Zealand,-1,.25,.375,9.5,.0625,.1875,-2,.625,254,0,1.6541409,1.0843004,5.6441107,8.3825521
Daniel Abt,2,2012,150,2,7,13,16,1,1,1,0,Lotus GP,1,Germany,-2,.0625,.4375,9.375,.0625,.125,-1,.8125,185,0,1.5556436,1.7358732,1.1337016,4.4252186
António Félix da Costa,3,2012,132,3,6,11,16,1,3,0,0,Carlin,3,Portugal,-3,.0625,.375,8.25,.1875,.1875,-3,.6875,173,0,1.4571462,1.3014914,1.1337016,3.8923392
Aaro Vainio,4,2012,123,1,4,12,16,2,1,0,0,Lotus GP,1,Finland,-4,.125,.25,7.6875,.0625,.0625,-1,.75,154,0,1.3586488,1.5186822,2.6371713,5.5145025
Matias Laine,5,2012,111,1,4,13,16,2,1,0,0,MW Arden,2,Finland,-5,.125,.25,6.9375,.0625,.0625,-2,.8125,245,0,1.2601513,1.7358732,2.6371713,5.6331959
Conor Daly,6,2012,106,1,5,11,16,0,2,0,0,Lotus GP,1,United States,-6,0,.3125,6.625,.125,.0625,-1,.6875,184,0,1.1616539,1.3014914,-.36976811,2.0933771
Patric Niederhauser,7,2012,101,2,4,11,16,0,2,0,0,Jenzer Motorsport,4,Switzerland,-7,0,.25,6.3125,.125,.125,-4,.6875,265,0,1.0631565,1.3014914,-.36976811,1.9948797
Tio Ellinas,8,2012,99,1,2,13,16,0,1,0,0,Marussia Manor Racing,5,Cyprus,-8,0,.125,6.1875,.0625,.0625,-5,.8125,294,0,.96465909,1.7358732,-.36976811,2.3307643
Kevin Ceccon,9,2012,56,0,1,10,16,0,1,1,0,Ocean Racing Technology,7,Italy,-9,0,.0625,3.5,.0625,0,-7,.625,228,0,.86616164,1.0843004,-.36976811,1.580694
Marlon Stöckinger,10,2012,55,1,2,6,16,0,1,1,0,Status Grand Prix,6,Philippines,-10,0,.125,3.4375,.0625,.0625,-6,.375,241,0,.76766425,.21553664,-.36976811,.61343277
David Fumanelli,11,2012,47,0,1,7,14,0,2,0,0,MW Arden,2,Italy,-11,0,.071428575,3.3571429,.14285715,0,-2,.5,190,0,.6691668,.6499185,-.36976811,.94931722
Tamás Pál Kiss,12,2012,38,0,1,9,16,0,1,0,0,Atech CRS GP,8,Hungary,-12,0,.0625,2.375,.0625,0,-8,.5625,291,0,.57066941,.86710948,-.36976811,1.0680108
Giovanni Venturini,13,2012,31,0,2,6,10,0,1,0,0,Trident Racing,9,Italy,-13,0,.2,3.0999999,.1,0,-9,.60000002,209,0,.47217199,.99742407,-.36976811,1.099828
Robert Vi?oiu,14,2012,24,0,1,5,15,0,2,0,0,Jenzer Motorsport,4,Romania,-14,0,.06666667,1.6,.13333334,0,-4,.33333334,277,0,.37367457,.070742711,-.36976811,.07464917
William Buller,15,2012,20,1,1,7,16,0,3,0,0,Carlin,3,United Kingdom,-15,0,.0625,1.25,.1875,.0625,-3,.4375,301,0,.27517715,.43272758,-.36976811,.33813661
Alex Brundle,16,2012,19,0,1,7,14,0,3,0,0,Carlin,3,United Kingdom,-16,0,.071428575,1.3571428,.21428572,0,-3,.5,161,0,.17667975,.6499185,-.36976811,.45683014
Lewis Williamson,17,2012,11,0,0,4,8,0,2,0,0,Status Grand Prix,6,United Kingdom,-17,0,0,1.375,.25,0,-6,.5,234,0,.078182325,.6499185,-.36976811,.35833269
Alex Fontana,18,2012,8,0,0,2,4,0,0,0,0,Jenzer Motorsport,4,Switzerland,-18,0,0,2,0,0,-4,.5,162,0,-.020315092,.6499185,-.36976811,.2598353
Alice Powell,19,2012,1,0,0,1,16,0,4,0,0,Status Grand Prix,6,United Kingdom,-19,0,0,.0625,.25,0,-6,.0625,168,0,-.11881251,-.87041807,-.36976811,-1.3589987
Fabio Gamberini,20,2012,1,0,0,1,2,0,0,0,0,Atech CRS GP,8,Brazil,-20,0,0,.5,0,0,-8,.5,205,0,-.21730992,.6499185,-.36976811,.062840462
Fabiano Machado,21,2012,0,0,0,1,14,0,5,0,0,Marussia Manor Racing,5,Brazil,-21,0,0,0,.35714287,0,-5,.071428575,204,0,-.31580734,-.83939075,-.36976811,-1.5249662
Robert Cregan,22,2012,0,0,0,0,14,0,1,0,0,Ocean Racing Technology,7,Republic of Ireland,-22,0,0,0,.071428575,0,-7,0,276,0,-.41430476,-1.0876089,-.36976811,-1.8716818
Dmitry Suranovich,23,2012,0,0,0,0,14,0,6,0,0,Marussia Manor Racing,5,Russia,-23,0,0,0,.42857143,0,-5,0,195,0,-.51280218,-1.0876089,-.36976811,-1.9701792
Kotaro Sakurai,24,2012,0,0,0,0,6,0,0,0,0,Status Grand Prix,6,Philippines,-24,0,0,0,0,0,-6,0,232,0,-.61129957,-1.0876089,-.36976811,-2.0686767
John Wartique,25,2012,0,0,0,0,10,0,1,0,0,Atech CRS GP,8,Belgium,-25,0,0,0,.1,0,-8,0,224,0,-.70979702,-1.0876089,-.36976811,-2.1671741
Vicky Piria,26,2012,0,0,0,0,16,0,3,0,0,Trident Racing,9,Italy,-26,0,0,0,.1875,0,-9,0,298,0,-.80829442,-1.0876089,-.36976811,-2.2656715
Facu Regalia,27,2012,0,0,0,0,4,0,0,0,0,Jenzer Motorsport,4,Argentina,-27,0,0,0,0,0,-4,0,206,0,-.90679187,-1.0876089,-.36976811,-2.3641689
Carmen Jordá,28,2012,0,0,0,0,16,0,5,0,0,Ocean Racing Technology,7,Spain,-28,0,0,0,.3125,0,-7,0,180,0,-1.0052893,-1.0876089,-.36976811,-2.4626663
Ethan Ringel,29,2012,0,0,0,0,16,0,5,0,0,Atech CRS GP,8,United States,-29,0,0,0,.3125,0,-8,0,203,0,-1.1037867,-1.0876089,-.36976811,-2.5611637
Antonio Spavone,30,2012,0,0,0,0,8,0,2,0,0,Trident Racing,9,Italy,-30,0,0,0,.25,0,-9,0,172,0,-1.2022841,-1.0876089,-.36976811,-2.6596611
Jakub Klášterka,31,2012,0,0,0,0,4,0,0,0,0,Jenzer Motorsport,4,Czech Republic,-31,0,0,0,0,0,-4,0,216,0,-1.3007815,-1.0876089,-.36976811,-2.7581584
Valtteri Bottas,1,2011,62,4,7,12,16,1,0,0,1,Lotus ART,1,Finland,-1,.0625,.4375,3.875,0,.25,-1,.75,297,0,1.6541409,1.5186822,1.1337016,4.3065248
James Calado,2,2011,55,1,6,11,16,1,0,1,0,Lotus ART,1,United Kingdom,-2,.0625,.375,3.4375,0,.0625,-1,.6875,217,0,1.5556436,1.3014914,1.1337016,3.9908366
Nigel Melker,3,2011,38,1,5,11,16,0,4,1,0,RSC MÃ¼cke Motorsport,4,Netherlands,-3,0,.3125,2.375,.25,.0625,-4,.6875,259,0,1.4571462,1.3014914,-.36976811,2.3888695
Nico Müller,4,2011,36,1,3,9,16,0,2,0,0,Jenzer Motorsport,7,Switzerland,-4,0,.1875,2.25,.125,.0625,-7,.5625,258,0,1.3586488,.86710948,-.36976811,1.8559902
Adrian Quaife-Hobbs,5,2011,36,1,2,8,16,2,3,1,0,Marussia Manor Racing,3,United Kingdom,-5,.125,.125,2.25,.1875,.0625,-3,.5,156,0,1.2601513,.6499185,2.6371713,4.5472412
Alexander Sims,6,2011,34,1,5,8,15,0,7,0,0,Status Grand Prix,5,United Kingdom,-6,0,.33333334,2.2666667,.46666667,.06666667,-5,.53333336,166,0,1.1616539,.76575375,-.36976811,1.5576395
Rio Haryanto,7,2011,31,2,4,10,16,0,1,1,0,Marussia Manor Racing,3,Indonesia,-7,0,.25,1.9375,.0625,.125,-3,.625,275,0,1.0631565,1.0843004,-.36976811,1.7776887
Lewis Williamson,8,2011,31,1,3,9,15,1,2,0,0,MW Arden,2,United Kingdom,-8,.06666667,.2,2.0666666,.13333334,.06666667,-2,.60000002,234,0,.96465909,.99742407,1.233933,3.1960161
Mitch Evans,9,2011,29,1,2,8,16,2,5,0,0,MW Arden,2,New Zealand,-9,.125,.125,1.8125,.3125,.0625,-2,.5,254,0,.86616164,.6499185,2.6371713,4.1532516
Andrea Caldarelli,10,2011,20,0,1,4,4,0,0,0,0,Tech 1 Racing,6,Italy,-10,0,.25,5,0,0,-6,1,170,0,.76766425,2.3874459,-.36976811,2.785342
Michael Christensen,11,2011,19,0,2,4,16,0,4,0,0,RSC MÃ¼cke Motorsport,4,Denmark,-11,0,.125,1.1875,.25,0,-4,.25,249,0,.6691668,-.21884523,-.36976811,.080553457
Dean Smith,12,2011,18,0,2,7,14,0,1,0,0,Addax Team,8,United Kingdom,-12,0,.14285715,1.2857143,.071428575,0,-8,.5,191,0,.57066941,.6499185,-.36976811,.85081983
António Félix da Costa,13,2011,16,1,1,6,16,0,4,0,0,Status Grand Prix,5,Portugal,-13,0,.0625,1,.25,.0625,-5,.375,173,0,.47217199,.21553664,-.36976811,.31794053
Tom Dillmann,14,2011,15,0,1,6,14,1,5,1,0,Carlin,9,France,-14,.071428575,.071428575,1.0714285,.35714287,0,-9,.42857143,296,0,.37367457,.40170032,1.3484831,2.123858
Aaro Vainio,15,2011,12,0,1,5,16,0,5,0,0,Tech 1 Racing,6,Finland,-15,0,.0625,.75,.3125,0,-6,.3125,154,0,.27517715,-.0016543026,-.36976811,-.096245266
Tamás Pál Kiss,16,2011,11,1,1,5,16,0,2,0,0,Tech 1 Racing,6,Hungary,-16,0,.0625,.6875,.125,.0625,-6,.3125,291,0,.17667975,-.0016543026,-.36976811,-.19474266
Conor Daly,17,2011,10,0,0,7,16,0,1,0,0,Carlin,9,United States,-17,0,0,.625,.0625,0,-9,.4375,184,0,.078182325,.43272758,-.36976811,.14114179
Simon Trummer,18,2011,9,0,0,5,16,0,3,1,0,MW Arden,2,Switzerland,-18,0,0,.5625,.1875,0,-2,.3125,288,0,-.020315092,-.0016543026,-.36976811,-.39173752
Gabriel Chaves,19,2011,8,0,0,5,16,0,3,0,0,Addax Team,8,Colombia,-19,0,0,.5,.1875,0,-8,.3125,208,0,-.11881251,-.0016543026,-.36976811,-.49023491
Richie Stanaway,20,2011,7,1,1,3,4,0,0,0,0,Lotus ART,1,New Zealand,-20,0,.25,1.75,0,.25,-1,.75,274,0,-.21730992,1.5186822,-.36976811,.93160421
Nick Yelloly,21,2011,7,0,1,4,16,0,4,0,0,Atech CRS GP,10,United Kingdom,-21,0,.0625,.4375,.25,0,-10,.25,257,0,-.31580734,-.21884523,-.36976811,-.90442067
Luciano Bacheta,22,2011,4,0,0,2,12,0,2,0,0,RSC MÃ¼cke Motorsport,4,United Kingdom,-22,0,0,.33333334,.16666667,0,-4,.16666667,237,0,-.41430476,-.50843316,-.36976811,-1.292506
Callum MacLeod,23,2011,3,0,0,1,8,0,2,0,0,Carlin,9,United Kingdom,-23,0,0,.375,.25,0,-9,.125,178,0,-.51280218,-.65322709,-.36976811,-1.5357974
Alex Fontana,24,2011,1,0,0,1,2,0,0,0,0,Jenzer Motorsport,7,Switzerland,-24,0,0,.5,0,0,-7,.5,162,0,-.61129957,.6499185,-.36976811,-.33114919
Vittorio Ghirelli,25,2011,0,0,0,3,14,0,3,0,0,Jenzer Motorsport,7,Italy,-25,0,0,0,.21428572,0,-7,.21428572,300,0,-.70979702,-.34295434,-.36976811,-1.4225194
Ivan Lukashevich,26,2011,0,0,0,2,16,0,4,0,0,Status Grand Prix,5,Russia,-26,0,0,0,.25,0,-5,.125,211,0,-.80829442,-.65322709,-.36976811,-1.8312896
Maxim Zimin,27,2011,0,0,0,1,14,0,6,0,0,Jenzer Motorsport,7,Russia,-27,0,0,0,.42857143,0,-7,.071428575,247,0,-.90679187,-.83939075,-.36976811,-2.1159508
Zoël Amberg,28,2011,0,0,0,1,16,0,4,0,0,Atech CRS GP,10,Switzerland,-28,0,0,0,.25,0,-10,.0625,303,0,-1.0052893,-.87041807,-.36976811,-2.2454755
Marlon Stöckinger,29,2011,0,0,0,1,15,0,5,0,0,Atech CRS GP,10,Philippines,-29,0,0,0,.33333334,0,-10,.06666667,241,0,-1.1037867,-.85593867,-.36976811,-2.3294935
Leonardo Cordeiro,30,2011,0,0,0,1,16,0,2,0,0,Carlin,9,Brazil,-30,0,0,0,.125,0,-9,.0625,233,0,-1.2022841,-.87041807,-.36976811,-2.4424703
Matias Laine,31,2011,0,0,0,0,16,0,6,0,0,Marussia Manor Racing,3,Finland,-31,0,0,0,.375,0,-3,0,245,0,-1.3007815,-1.0876089,-.36976811,-2.7581584
Pedro Nunes,32,2011,0,0,0,0,12,0,5,0,0,Lotus ART,1,Brazil,-32,0,0,0,.41666666,0,-1,0,268,0,-1.3992789,-1.0876089,-.36976811,-2.8566558
Daniel Morad,33,2011,0,0,0,0,4,0,1,0,0,Carlin,9,Canada,-33,0,0,0,.25,0,-9,0,188,0,-1.4977764,-1.0876089,-.36976811,-2.9551535
Thomas Hylkema,34,2011,0,0,0,0,12,0,5,0,0,Tech 1 Racing,6,Netherlands,-34,0,0,0,.41666666,0,-6,0,293,0,-1.5962738,-1.0876089,-.36976811,-3.0536509
Daniel Mancinelli,35,2011,0,0,0,0,4,0,1,0,0,RSC MÃ¼cke Motorsport,4,Italy,-35,0,0,0,.25,0,-4,0,187,0,-1.6947712,-1.0876089,-.36976811,-3.1521482
Christophe Hurni,36,2011,0,0,0,0,2,0,0,0,0,Jenzer Motorsport,7,Switzerland,-36,0,0,0,0,0,-7,0,182,0,-1.7932686,-1.0876089,-.36976811,-3.2506456
Dominic Storey,37,2011,0,0,0,0,4,0,3,0,0,Addax Team,8,New Zealand,-37,0,0,0,.75,0,-8,0,196,0,-1.891766,-1.0876089,-.36976811,-3.349143
Esteban Gutiérrez,1,2010,88,5,9,14,16,3,1,1,0,ART Grand Prix,1,Mexico,-1,.1875,.5625,5.5,.0625,.3125,-1,.875,201,0,1.6541409,1.9530641,4.1406412,7.7478461
Robert Wickens,2,2010,71,3,7,12,16,1,0,0,0,Status Grand Prix,2,Canada,-2,.0625,.4375,4.4375,0,.1875,-2,.75,278,0,1.5556436,1.5186822,1.1337016,4.2080274
Nico Müller,3,2010,53,2,4,13,16,1,1,0,0,Jenzer Motorsport,3,Switzerland,-3,.0625,.25,3.3125,.0625,.125,-3,.8125,258,0,1.4571462,1.7358732,1.1337016,4.3267212
Alexander Rossi,4,2010,38,2,5,10,16,0,4,0,0,ART Grand Prix,1,United States,-4,0,.3125,2.375,.25,.125,-1,.625,165,0,1.3586488,1.0843004,-.36976811,2.0731812
Rio Haryanto,5,2010,27,1,3,6,16,0,3,0,0,Manor Racing,4,Indonesia,-5,0,.1875,1.6875,.1875,.0625,-4,.375,275,0,1.2601513,.21553664,-.36976811,1.1059198
Roberto Merhi,6,2010,26,0,3,5,12,0,4,0,0,Atech CRS GP,7,Spain,-6,0,.25,2.1666667,.33333334,0,-7,.41666666,279,0,1.1616539,.36033055,-.36976811,1.1522163
Dean Smith,7,2010,24,0,1,9,16,0,2,0,0,Carlin,5,United Kingdom,-7,0,.0625,1.5,.125,0,-5,.5625,191,0,1.0631565,.86710948,-.36976811,1.5604979
James Jakes,8,2010,21,0,3,7,12,0,3,0,0,Manor Racing,4,United Kingdom,-8,0,.25,1.75,.25,0,-4,.58333331,218,0,.96465909,.93950635,-.36976811,1.5343974
Stefano Coletti,9,2010,18,0,2,7,14,0,3,1,0,Tech 1 Racing,6,Monaco,-9,0,.14285715,1.2857143,.21428572,0,-6,.5,289,0,.86616164,.6499185,-.36976811,1.146312
Miki Monrás,10,2010,17,0,2,7,16,0,2,0,0,MW Arden,9,Spain,-10,0,.125,1.0625,.125,0,-9,.4375,252,0,.76766425,.43272758,-.36976811,.83062375
Mirko Bortolotti,11,2010,16,0,1,7,16,0,3,0,0,Addax Team,8,Italy,-11,0,.0625,1,.1875,0,-8,.4375,253,0,.6691668,.43272758,-.36976811,.73212624
Daniel Morad,12,2010,15,1,1,7,16,0,3,0,0,Status Grand Prix,2,Canada,-12,0,.0625,.9375,.1875,.0625,-2,.4375,188,0,.57066941,.43272758,-.36976811,.63362885
Pål Varhaug,13,2010,10,1,1,3,16,0,2,1,0,Jenzer Motorsport,3,Norway,-13,0,.0625,.625,.125,.0625,-3,.1875,269,0,.47217199,-.43603617,-.36976811,-.33363229
Daniel Juncadella,14,2010,10,0,1,3,9,0,4,0,0,Tech 1 Racing,6,Spain,-14,0,.11111111,1.1111112,.44444445,0,-6,.33333334,186,0,.37367457,.070742711,-.36976811,.07464917
Adrian Quaife-Hobbs,15,2010,10,0,1,4,15,0,4,0,0,Manor Racing,4,United Kingdom,-15,0,.06666667,.66666669,.26666668,0,-4,.26666668,156,0,.27517715,-.16092761,-.36976811,-.25551856
Felipe Guimarães,16,2010,9,0,1,5,16,0,6,0,0,Addax Team,8,Brazil,-16,0,.0625,.5625,.375,0,-8,.3125,207,0,.17667975,-.0016543026,-.36976811,-.19474266
Jean-Éric Vergne,17,2010,9,0,0,2,4,0,0,0,1,Tech 1 Racing,6,France,-17,0,0,2.25,0,0,-6,.5,220,0,.078182325,.6499185,-.36976811,.35833269
Josef Newgarden,18,2010,8,0,0,5,16,1,5,0,0,Carlin,5,United States,-18,.0625,0,.5,.3125,0,-5,.3125,225,0,-.020315092,-.0016543026,1.1337016,1.1117321
Lucas Foresti,19,2010,7,0,1,2,10,0,2,0,0,Carlin,5,Brazil,-19,0,.1,.69999999,.2,0,-5,.2,236,0,-.11881251,-.39259797,-.36976811,-.88117862
Adrien Tambay,20,2010,6,1,1,2,4,0,1,0,0,Manor Racing,4,France,-20,0,.25,1.5,.25,.25,-4,.5,157,0,-.21730992,.6499185,-.36976811,.062840462
Renger van der Zande,21,2010,6,0,1,3,16,0,9,0,0,RSC MÃ¼cke Motorsport,10,Netherlands,-21,0,.0625,.375,.5625,0,-10,.1875,271,0,-.31580734,-.43603617,-.36976811,-1.1216116
Tobias Hegewald,22,2010,6,0,0,5,16,0,4,0,0,RSC MÃ¼cke Motorsport,10,Germany,-22,0,0,.375,.25,0,-10,.3125,295,0,-.41430476,-.0016543026,-.36976811,-.7857272
Nigel Melker,23,2010,5,0,0,1,16,2,5,0,0,RSC MÃ¼cke Motorsport,10,Netherlands,-23,.125,0,.3125,.3125,0,-10,.0625,259,0,-.51280218,-.87041807,2.6371713,1.2539511
Pedro Nunes,24,2010,4,0,0,3,16,0,4,0,0,ART Grand Prix,1,Brazil,-24,0,0,.25,.25,0,-1,.1875,268,0,-.61129957,-.43603617,-.36976811,-1.4171039
Simon Trummer,25,2010,4,0,0,3,14,0,3,0,0,Jenzer Motorsport,3,Switzerland,-25,0,0,.2857143,.21428572,0,-3,.21428572,288,0,-.70979702,-.34295434,-.36976811,-1.4225194
António Félix da Costa,26,2010,3,0,0,1,4,0,1,0,0,Carlin,5,Portugal,-26,0,0,.75,.25,0,-5,.25,173,0,-.80829442,-.21884523,-.36976811,-1.3969078
Leonardo Cordeiro,27,2010,1,0,0,1,16,0,7,0,0,MW Arden,9,Brazil,-27,0,0,.0625,.4375,0,-9,.0625,233,0,-.90679187,-.87041807,-.36976811,-2.1469781
Oliver Oakes,28,2010,0,0,0,5,16,0,3,0,0,Atech CRS GP,7,United Kingdom,-28,0,0,0,.1875,0,-7,.3125,263,0,-1.0052893,-.0016543026,-.36976811,-1.3767117
Doru Sechelariu,29,2010,0,0,0,3,15,0,5,0,0,Tech 1 Racing,6,Romania,-29,0,0,0,.33333334,0,-6,.2,197,0,-1.1037867,-.39259797,-.36976811,-1.8661528
Pablo Sánchez López,30,2010,0,0,0,1,16,0,4,0,0,Addax Team,8,Mexico,-30,0,0,0,.25,0,-8,.0625,264,0,-1.2022841,-.87041807,-.36976811,-2.4424703
Michael Christensen,31,2010,0,0,0,4,16,0,6,0,0,MW Arden,9,Denmark,-31,0,0,0,.375,0,-9,.25,249,0,-1.3007815,-.21884523,-.36976811,-1.8893949
Ivan Lukashevich,32,2010,0,0,0,0,16,0,2,0,0,Status Grand Prix,2,Russia,-32,0,0,0,.125,0,-2,0,211,0,-1.3992789,-1.0876089,-.36976811,-2.8566558
Patrick Reiterer,33,2010,0,0,0,0,3,0,0,0,0,Atech CRS GP,7,Italy,-33,0,0,0,0,0,-7,0,267,0,-1.4977764,-1.0876089,-.36976811,-2.9551535
Vittorio Ghirelli,34,2010,0,0,0,0,14,0,2,0,0,Atech CRS GP,7,Italy,-34,0,0,0,.14285715,0,-7,0,300,0,-1.5962738,-1.0876089,-.36976811,-3.0536509
Marco Barba,35,2010,0,0,0,0,2,0,1,0,0,Jenzer Motorsport,3,Spain,-35,0,0,0,.5,0,-3,0,240,0,-1.6947712,-1.0876089,-.36976811,-3.1521482
Jim Pla,36,2010,0,0,0,0,2,0,1,0,0,Tech 1 Racing,6,France,-36,0,0,0,.5,0,-6,0,221,0,-1.7932686,-1.0876089,-.36976811,-3.2506456
Mikhail Aleshin,37,2010,0,0,0,0,2,0,1,0,0,Carlin,5,Russia,-37,0,0,0,.5,0,-5,0,251,0,-1.891766,-1.0876089,-.36976811,-3.349143
