sttminwgny,date,nyur,avg_month_rate,brooklyn_monthly_housing_index,manhattan_monthly_housing_index,queens_monthly_housing_index,covid
13,7/1/2022,4,5,713455,1114089,525513,1
13,8/1/2022,4,5,716040,1115151,527845,1
13,9/1/2022,4,6,714848,1110942,524655,1
13,10/1/2022,4,7,718104,1109838,526642,1
13,11/1/2022,4,7,702973,1105420,522223,1
13,12/1/2022,4,6,712674,1100544,522752,1
14,1/1/2023,4,6,717632,1091864,520021,1
14,2/1/2023,4,6,706004,1083216,517579,1
14,3/1/2023,4,7,710563,1079259,517492,1
14,4/1/2023,4,6,710914,1067009,515011,1
14,5/1/2023,4,6,712267,1068410,520272,1
14,6/1/2023,4,7,716124,1061591,519935,1
14,7/1/2023,4,7,713613,1068070,521878,1
14,8/1/2023,4,7,714707,1067411,515873,1
14,9/1/2023,4,7,715003,1071707,513422,1
14,10/1/2023,4,8,714005,1071606,509189,1
14,11/1/2023,4,7,706447,1068377,507872,1
14,12/1/2023,4,7,709991,1062458,509787,1
16,1/1/2024,4,7,721226,1064440,510967,1
16,2/1/2024,4,7,719020,1059250,513300,1
16,3/1/2024,4,7,718850,1056859,517363,1
16,4/1/2024,4,7,727893,1054873,517864,1
16,5/1/2024,4,7,727511,1053800,513938,1
16,6/1/2024,4,7,719544,1055832,514488,1
16,7/1/2024,4,7,727402,1064183,514473,1
16,8/1/2024,4,7,717374,1065114,516893,1
16,9/1/2024,4,6,718142,1065422,515997,1
16,10/1/2024,4,6,721443,1057671,516993,1
16,11/1/2024,4,7,728873,1059905,518603,1
16,12/1/2024,4,7,733074,1062526,519770,1
17,1/1/2025,4,7,734978,1067249,518723,1
